Biomass,d0(%),d1(%),d2(%),d3(%),d4(%),d5(%),d6(%),d7(%),d8(%),d9(%),p10,p100,p30,p40,p50,p60,p70,p80,p90,stdev,mean
15.3947,1.55649,2.5117399,5.09611,11.9487002,12.9924998,14.1580999,19.1223994,19.7751999,12.8077,0.0310455,8.657030106,22.81369972,13.26000023,14.77120018,15.86400032,16.99220085,18.21549988,19.25149918,20.37080002,4.551760197,15.11830044
3.1654,3.69654,17.8110003,30.7893008,17.2597006,10.7070997,9.7574599,6.3599803,2.7003599,0.894746,0.0238055,4.220739841,18.34020042,5.844379902,6.741509914,7.445240021,8.00524044,8.646940231,9.510370255,11.35789967,3.004669905,7.615809917
8.389,6.3305803,14.1789004,19.4866002,14.9792999,10.5439,12.7223998,11.0760003,8.6736403,1.9866601,0.021951,4.26598978,20.16790009,6.816679955,8.110589981,9.629610062,11.18159962,12.34609985,13.73289967,15.53979969,4.237410069,9.715149879
6.5824,10.0966997,11.0506997,9.8368101,13.6267006,16.9183001,17.5854996,13.8849005,5.6070302,1.37131,0.0220396,3.480269909,18.40979958,6.723219872,8.207550049,9.416700363,10.58500004,11.77369976,12.8579998,14.01319981,3.900719881,9.1291399
8.4208,1.75284,7.0906103,13.1051004,19.1503003,22.3425999,15.7836005,13.4494007,6.3545898,0.949759,0.0212982,6.113140106,21.63310051,8.926289558,10.23659992,11.20009995,12.40649986,13.66349983,14.86450005,16.55590057,3.910640001,11.29510021
6.6266,1.42777,3.9306901,14.4576997,18.3272004,16.7230994,17.9323003,15.9937993,8.7391697,2.4366099,0.0317993,6.504899979,20.17709923,9.164460182,10.12100029,11.3093996,12.35540009,13.34669971,14.48130035,15.91959953,3.566479921,11.2208004
6.7809,4.0491,8.6406499,12.7614006,17.0185998,15.1923001,14.7523999,13.5105997,11.7317997,2.3108101,0.0324625,5.000329971,19.61689949,8.578029633,9.674619675,10.76620007,11.86460018,12.93449974,14.18840027,15.79559994,3.914400101,10.61460018
5.7512,5.3808801,9.5837802,11.7895,15.9052998,19.4585994,17.4052,10.8845003,7.6288499,1.93775,0.0255976,4.37774992,18.63879967,7.36823988,8.623189926,9.567230225,10.47290039,11.73359966,12.91380024,14.84570026,3.781939983,9.554200172
7.4949,8.72688,18.9852998,21.7120007,14.1571999,9.55083,7.68262,10.6905997,6.6128902,1.85725,0.0244108,3.419490099,17.64640045,4.960440159,5.736529827,6.834280014,8.429510117,10.02390003,11.67259979,13.41059971,3.837860107,7.787700176
8.841,5.7095598,13.4698004,12.8238007,13.4883001,14.4088998,17.4013004,14.4876003,6.4533897,1.7391,0.0182353,4.302430153,20.54439926,7.36631012,9.059860229,10.70199966,12.03030014,13.17539978,14.42930031,16.0095005,4.377530098,10.30290031
4.5753,5.07925,8.7408699,10.9869003,18.2081997,21.7641994,16.7373002,12.2097999,5.07797,1.17327,0.0222757,4.739200115,18.27659988,7.593989849,8.515839577,9.430589676,10.26010036,11.14459991,12.02250004,13.47859955,3.251660109,9.266699791
4.9041,4.3283101,8.5441701,13.1386995,19.7273999,17.7979007,13.2116005,13.7675002,7.3639996,2.09866,0.0217347,4.907149792,17.62809944,7.23830986,8.14455986,9.000220299,9.838359833,10.83769989,12.01739979,13.39770031,3.260910034,9.052470207
10.667,3.5583299,9.5166102,10.0245997,12.0612003,16.7337,19.5579007,15.3282002,10.4157001,2.7721999,0.0315048,4.929399967,19.95870018,8.918230057,10.50979996,11.6882,12.59790039,13.57180023,14.74820042,16.33589935,4.165599823,11.08440018
7.8429,1.6282899,7.3270097,15.2541995,19.0569997,23.9922002,15.9649998,10.3923,5.10916,1.24558,0.0291281,5.752689838,20.3654995,8.250349998,9.430520058,10.53859997,11.4144001,12.49919987,13.5635004,15.07859993,3.541300058,10.41880035
